Criado como novo conjunto de dados;"0307_DANIEL.spp","63905.6 Secs"
cm-1;Abs
9384.000000;-0.120819
9383.000000;-0.119113
9382.000000;-0.117358
9381.000000;-0.115730
9380.000000;-0.114219
9379.000000;-0.112832
9378.000000;-0.111620
9377.000000;-0.110532
9376.000000;-0.109376
9375.000000;-0.107986
9374.000000;-0.106384
9373.000000;-0.104785
9372.000000;-0.103436
9371.000000;-0.102413
9370.000000;-0.101514
9369.000000;-0.100414
9368.000000;-0.098982
9367.000000;-0.097378
9366.000000;-0.095811
9365.000000;-0.094290
9364.000000;-0.092724
9363.000000;-0.091164
9362.000000;-0.089754
9361.000000;-0.088503
9360.000000;-0.087261
9359.000000;-0.085933
9358.000000;-0.084558
9357.000000;-0.083182
9356.000000;-0.081819
9355.000000;-0.080544
9354.000000;-0.079440
9353.000000;-0.078389
9352.000000;-0.077100
9351.000000;-0.075464
9350.000000;-0.073737
9349.000000;-0.072258
9348.000000;-0.071088
9347.000000;-0.070011
9346.000000;-0.068786
9345.000000;-0.067285
9344.000000;-0.065497
9343.000000;-0.063559
9342.000000;-0.061694
9341.000000;-0.060005
9340.000000;-0.058357
9339.000000;-0.056624
9338.000000;-0.054953
9337.000000;-0.053622
9336.000000;-0.052640
9335.000000;-0.051680
9334.000000;-0.050446
9333.000000;-0.048957
9332.000000;-0.047450
9331.000000;-0.046094
9330.000000;-0.044871
9329.000000;-0.043656
9328.000000;-0.042360
9327.000000;-0.041002
9326.000000;-0.039652
9325.000000;-0.038287
9324.000000;-0.036773
9323.000000;-0.035064
9322.000000;-0.033349
9321.000000;-0.031881
9320.000000;-0.030709
9319.000000;-0.029683
9318.000000;-0.028668
9317.000000;-0.027593
9316.000000;-0.026326
9315.000000;-0.024733
